id,nombre_asp,cantidad_especies,lista_especies
areas_silvestres_protegidas.138,Barra del Colorado,"0",
areas_silvestres_protegidas.139,Isla del Cano,"1",Artibeus jamaicensis
areas_silvestres_protegidas.140,Isla del Cano,"0",
areas_silvestres_protegidas.141,Terraba-Sierpe,"4","Artibeus cinereus, Rhynchonycteris naso, Carollia perspicillata, Uroderma bilobatum"
areas_silvestres_protegidas.142,Corcovado,"27","Anoura geoffroyi, Uroderma davisi, Thyroptera tricolor, Carollia brevicaudum, Platyrrhinus helleri, Carollia perspicillata, Glossophaga soricina, Saccopteryx bilineata, Pteronotus gymnonotus, Molossus sinaloae, Pteronotus personatus, Carollia subrufa, Lophostoma silvicola, Artibeus jamaicensis, Rhynchonycteris naso, Carollia castanea, Uroderma bilobatum, Saccopteryx leptura, Artibeus glaucus, Vampyressa pusilla, Lonchophylla concava, Uroderma convexum, Artibeus phaeotis, Rhogeessa tumida, Cormura brevirostris, Artibeus watsoni, Artibeus lituratus"
areas_silvestres_protegidas.143,Piedras Blancas,"5","Saccopteryx bilineata, Artibeus jamaicensis, Rhynchonycteris naso, Rhogeessa io, Uroderma bilobatum"
areas_silvestres_protegidas.144,Marino Ballena,"1",Uroderma bilobatum
areas_silvestres_protegidas.145,Golfo Dulce,"54","Micronycteris megalotis, Uroderma davisi, Thyroptera tricolor, Diphylla ecaudata, Trachops cirrhosus, Vampyrodes caraccioli, Pteronotus parnellii, Enchisthenes hartii, Carollia brevicaudum, Platyrrhinus helleri, Vampyressa thyone, Myotis elegans, Carollia perspicillata, Saccopteryx bilineata, Glossophaga soricina, Centronycteris maximiliani, Tonatia bidens, Chiroderma villosum, Centurio senex, Pteronotus gymnonotus, Molossus sinaloae, Lonchophylla robusta, Dasypterus ega, Pteronotus personatus, Carollia subrufa, Phyllostomus hastatus, Gardnerycteris crenulatum, Lophostoma silvicola, Artibeus jamaicensis, Rhynchonycteris naso, Lophostoma brasiliense, Carollia castanea, Desmodus rotundus, Lonchophylla mordax, Uroderma bilobatum, Saccopteryx leptura, Artibeus glaucus, Glossophaga commissarisi, Artibeus cinereus, Vampyressa pusilla, Phyllostomus discolor, Lonchophylla concava, Uroderma convexum, Tonatia saurophila, Vampyrum spectrum, Glossophaga mutica, Artibeus phaeotis, Myotis nigricans, Rhogeessa parvula, Rhogeessa tumida, Molossus rufus, Eptesicus brasiliensis, Artibeus watsoni, Artibeus lituratus"
areas_silvestres_protegidas.146,Golfito,"3","Saccopteryx bilineata, Centronycteris centralis, Artibeus watsoni"
areas_silvestres_protegidas.147,Punta Rio Claro,"0",
areas_silvestres_protegidas.148,Preciosa Platanares,"0",
areas_silvestres_protegidas.149,Rio Oro,"0",
areas_silvestres_protegidas.150,Pejeperro,"0",
areas_silvestres_protegidas.151,Carate,"1",Diclidurus albus
areas_silvestres_protegidas.152,Osa,"8","Artibeus jamaicensis, Rhynchonycteris naso, Desmodus rotundus, Uroderma bilobatum, Trachops cirrhosus, Centronycteris centralis, Diclidurus albus, Artibeus lituratus"
areas_silvestres_protegidas.153,Quillotro,"0",
